id,var_name_Jpn,var_name_Eng,columm_letter,address
1,key,key,A,NA
2,pref.id,pref.id,B,NA
3,sex,sex,C,NA
4,pref.E,pref.E,D,NA
5,pref.A,pref.A,E,NA
6,pref.J,pref.J,F,NA
7,人口,pop,G,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200502&tstat=000001137306&cycle=0&year=20200&month=0&tclass1=000001137307
8,受療率_入院_悪性新生物_2017,Treatment_rate_Hospitalization_Malignant_neoplasm_2017,H,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802
9,受療率_入院_心疾患_2017,Medical_treatment_rate_hospitalization_heart_dz_2017,I,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802
10,受療率_入院_脳血管疾患_2017,Treatment_rate_Hospitalization_Cerebrovascular_dz_2017,J,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802
11,受療率_外来_悪性新生物_2017,Treatment_rate_Outpatient_Malignant_neoplasm_2017,K,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802
12,受療率_外来_心疾患_2017,Treatment_rate_outpatient_heart_dz_2017,L,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802
13,受療率_外来_脳血管疾患_2017,Treatment_rate_Outpatient_Cerebrovascular_dz_2017,M,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00450022&tstat=000001031167&cycle=7&tclass1=000001124800&tclass2=000001124802
14,病院数_2019,Num_of_hospitals_2019,N,https://www.mhlw.go.jp/toukei/saikin/hw/iryosd/19/
15,診療所数_2019,Num_of_clinics_2019,O,https://www.mhlw.go.jp/toukei/saikin/hw/iryosd/19/
16,がん治療認定医数_2020,Num_of_certified_cancer_doctors_2020,P,https://www.jbct.jp/general/figure.html
17,循環器専門医数_2020,Num_of_cardiologists_2020,Q,https://www.j-circ.or.jp/senmoni_kensaku/
18,内視鏡専門医数_2020,Num_of_endoscopists_2020,R,https://www.jges.net/medical/about/list/memberlist#92
19,75歳未満調整死亡率_悪性新生物_2018,Mortality_Malignant_Neoplasm_2018_Under_75,S,https://ganjoho.jp/reg_stat/statistics/dl/index.html#pref_mortality
20,書籍購入代金_2019,Book_purchase_price_2019,T,https://www.e-stat.go.jp/stat-search/files?page=1&layout=datalist&toukei=00200561&tstat=000000330001&cycle=7&year=20190&month=0&tclass1=000000330001&tclass2=000000330004&tclass3=000000330005&result_back=1&cycle_facet=tclass1%3Atclass2%3Atclass3%3Acycle
21,平均寿命_2015,LE_2015,U,https://www.mhlw.go.jp/toukei/saikin/hw/life/tdfk15/index.html
22,健康寿命_2016,HLE_2016,V,http://toukei.umin.jp/kenkoujyumyou/
23,75歳未満調整死亡率_悪政新生物_2019,Under_75_Adjusted_Mortality_Evil_Neoplasms_2019,W,https://ganjoho.jp/reg_stat/statistics/dl/index.html#pref_mortality
24,年齢調整死亡率_心疾患_2015,mortality_heart_dz_2015,X,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/other/15sibou/index.html
25,年齢調整死亡率_脳血管疾患_2015,mortality_cerebrovascular_dz_2015,Y,https://www.mhlw.go.jp/toukei/saikin/hw/jinkou/other/15sibou/index.html
26,60歳以上人口_2015,pop_over_60_2015,Z,http://www.stat.go.jp/data/kokusei/2015/kekka.html
